-9.500,-0.6109,0.09082
-9.250,-0.7232,0.05225
-9.000,-0.7988,0.05855
-8.750,-0.8349,0.05165
-8.500,-0.8328,0.04784
-8.250,-0.8291,0.04435
-8.000,-0.8226,0.04092
-7.750,-0.8140,0.03761
-7.500,-0.8023,0.03460
-7.250,-0.7870,0.03230
-7.000,-0.7697,0.03035
-6.750,-0.7497,0.02842
-6.500,-0.7273,0.02663
-6.250,-0.7043,0.02517
-6.000,-0.6824,0.02373
-5.750,-0.6614,0.02271
-5.500,-0.6406,0.02168
-5.250,-0.6213,0.02076
-5.000,-0.6051,0.01985
-4.750,-0.5877,0.01919
-4.500,-0.5726,0.01838
-4.250,-0.5594,0.01733
-4.000,-0.5499,0.01593
-3.750,-0.5397,0.01504
-3.500,-0.5258,0.01452
-3.250,-0.5121,0.01402
-3.000,-0.4971,0.01365
-2.750,-0.4780,0.01347
-2.500,-0.4525,0.01348
-2.250,-0.4234,0.01366
-2.000,-0.3815,0.01405
-1.750,-0.2796,0.01543
-1.500,-0.1891,0.01620
-1.250,-0.1123,0.01646
-1.000,-0.0360,0.01632
-0.750,0.0175,0.01603
-0.500,0.0174,0.01590
-0.250,0.0127,0.01587
0.000,0.0054,0.01591
0.250,-0.0025,0.01601
0.500,0.0239,0.01617
0.750,0.0867,0.01623
1.000,0.1458,0.01611
1.250,0.2091,0.01580
1.500,0.2760,0.01527
1.750,0.3399,0.01473
2.000,0.4032,0.01421
2.250,0.4503,0.01392
2.500,0.4832,0.01377
2.750,0.5061,0.01374
3.000,0.5253,0.01382
3.250,0.5414,0.01406
3.500,0.5571,0.01439
3.750,0.5725,0.01472
4.000,0.5875,0.01507
4.250,0.6024,0.01545
4.500,0.6159,0.01593
4.750,0.6245,0.01685
5.000,0.6310,0.01846
5.250,0.6424,0.01971
5.500,0.6560,0.02098
5.750,0.6739,0.02207
6.000,0.6950,0.02368
6.250,0.7164,0.02471
6.500,0.7372,0.02592
6.750,0.7618,0.02825
7.000,0.7813,0.02960
7.250,0.7991,0.03106
7.500,0.8159,0.03274
7.750,0.8314,0.03489
8.000,0.8441,0.03731
8.250,0.8575,0.03963
8.500,0.8706,0.04265
8.750,0.8771,0.04587
9.000,0.8610,0.04926
9.250,0.8475,0.05385
9.500,0.8395,0.05828
9.750,0.7922,0.06447
10.000,0.4913,0.09398
10.250,0.5860,0.07454
10.500,0.6061,0.07352
10.750,0.6117,0.10990
11.000,0.5962,0.11450
11.250,0.6236,0.11674
