-9.250,-0.3806,0.09679
-9.000,-0.4039,0.09356
-8.750,-0.4352,0.08986
-8.500,-0.3826,0.08651
-8.250,-0.3928,0.08326
-8.000,-0.4297,0.07957
-7.750,-0.4499,0.07567
-7.500,-0.4157,0.07358
-7.250,-0.4388,0.07108
-7.000,-0.4716,0.07075
-6.750,-0.4779,0.06730
-6.500,-0.4490,0.06267
-6.250,-0.4201,0.05880
-6.000,-0.3960,0.05547
-5.000,-0.2504,0.03306
-4.750,-0.2221,0.02956
-4.500,-0.1826,0.02726
-4.250,-0.1527,0.02569
-4.000,-0.1176,0.02406
-3.750,-0.0850,0.02277
-3.500,-0.0549,0.02193
-3.250,-0.0246,0.02051
-3.000,-0.0015,0.01984
-2.750,0.0221,0.01907
-2.500,0.0444,0.01833
-2.250,0.0464,0.01587
-2.000,0.0805,0.01581
-1.750,0.2026,0.01661
-1.500,0.2777,0.01649
-1.250,0.3343,0.01613
-1.000,0.3520,0.01607
-0.750,0.3657,0.01613
-0.500,0.3816,0.01615
-0.250,0.3965,0.01630
0.000,0.4131,0.01649
0.250,0.4314,0.01665
0.500,0.4488,0.01694
0.750,0.4699,0.01710
1.000,0.4877,0.01746
1.250,0.5095,0.01767
1.500,0.5289,0.01802
1.750,0.5500,0.01834
2.000,0.5716,0.01861
2.250,0.5921,0.01901
2.500,0.6156,0.01923
2.750,0.6354,0.01970
3.000,0.6602,0.01987
3.250,0.6793,0.02040
3.500,0.7054,0.02052
3.750,0.7238,0.02111
4.000,0.7510,0.02117
4.250,0.7699,0.02163
4.500,0.7924,0.02189
4.750,0.8186,0.02186
5.000,0.8388,0.02227
5.250,0.8680,0.02216
5.500,0.8869,0.02262
5.750,0.9099,0.02282
6.000,0.9391,0.02256
6.250,0.9593,0.02286
6.500,0.9821,0.02304
6.750,1.0087,0.02285
7.000,1.0339,0.02253
7.250,1.0567,0.02230
7.500,1.0793,0.02222
7.750,1.1008,0.02225
8.000,1.1211,0.02232
8.250,1.1412,0.02236
8.500,1.1601,0.02243
8.750,1.1737,0.02270
9.000,1.1844,0.02308
9.250,1.1915,0.02364
9.500,1.1934,0.02456
9.750,1.1903,0.02585
10.000,1.1827,0.02737
10.250,1.1756,0.02921
10.500,1.1715,0.03114
10.750,1.1693,0.03312
11.000,1.1691,0.03514
11.250,1.1712,0.03719
11.500,1.1764,0.03922
11.750,1.1841,0.04122
12.000,1.1997,0.04305
12.250,1.2080,0.04515
12.500,1.2347,0.04715
12.750,1.2374,0.04948
13.000,1.2464,0.05186
13.250,1.2813,0.05494
13.500,1.2725,0.05774
13.750,1.2631,0.06092
14.000,1.2531,0.06446
14.250,1.2423,0.06841
14.500,1.2283,0.07281
14.750,1.2103,0.07780
15.000,1.1878,0.08344
15.250,1.1611,0.08997
15.500,1.1298,0.09764
15.750,1.0954,0.10660
16.000,1.0583,0.11720
16.250,1.0251,0.12839
16.500,0.9959,0.13993
